window_months,H,n_surviving,corpus_hours
12,5,216,1080
12,10,214,2140
12,15,211,3165
12,20,208,4160
12,25,196,4900
12,30,192,5760
12,40,171,6840
12,50,155,7750
18,5,216,1080
18,10,216,2160
18,15,212,3180
18,20,209,4180
18,25,205,5125
18,30,203,6090
18,40,188,7520
18,50,174,8700
24,5,216,1080
24,10,216,2160
24,15,213,3195
24,20,209,4180
24,25,205,5125
24,30,203,6090
24,40,194,7760
24,50,185,9250
36,5,219,1095
36,10,218,2180
36,15,214,3210
36,20,210,4200
36,25,206,5150
36,30,204,6120
36,40,198,7920
36,50,193,9650
